date,policy,
02-Mar-20,Governor Newsom is requesting emergency action from the legislature to make available up to $20 million for the COVID-19 response.,
03-Mar-20,"California's Public Health Department announced that it received federal approval to use some of its emergency planning reserves of 21 million N95 filtering facepiece masks in certain low-risk situations to relieve pressure on the supply chain. March 4, 2020 Governor Newsom declared a state of emergency to help state prepare for broader spread of COVID-19.",
04-Mar-20,"The CDC lifted federal restrictions on coronavirus testing to allow any American to be tested for coronavirus, “subject to doctor’s orders.”",
04-Mar-20,"In California, Governor Gavin Newsom declares a state of emergency.",
05-Mar-20,California Employee Development Department announced support services to individuals affected by COVID-19 in California.,
05-Mar-20,The California Department of Insurance issued similar direction providing cost free medically necessary testing for an additional 2 million Californians.,
07-Mar-20,"California officials issued updated guidance to schools, colleges and universities, event organizers and public health officials as they plan forfurtherspread of COVID-19.",
11-Mar-20,Governor Newsom announced that gatherings larger than 250 people should be cancelled or postponed.,
11-Mar-20,California public health officials issued an updated policy on gatherings to protect public health and slow the spread of COVID-19. The state's public health expertshave determined that gatherings should be postponed or canceled across the state until at least the end of March.,
11-Mar-20,WHO Declares COVID-19 a Pandemic,
12-Mar-20,"Californiaissueda new executive order further enhancing Californias ability to respond to the COVID-19 pandemic.The Governors order: Waives the one-week waiting period for people who are unemployed and/or disabled as a result of COVID-19; Delays the deadline for state tax filing by 60 days for individuals and businesses unable to file on time based on compliance with public health requirements related to COVID-19filings; Directs residents to follow public health directives and guidance, including to cancel large non-essential gatherings that do not meet statecriteria; Readies the state to commandeer property for temporary residences and medical facilities for quarantining, isolating or treatingindividuals; Allows local or state legislative bodies to hold meetings via teleconference and to make meetings accessible electronically; and Allows local and state emergency administrators to act quickly to protect public health.",
13-Mar-20,The Governor releasedinformationincluding support for workers via unemployment insurance (UI) and disability insurance (DI) whohave toquarantine or experience reduced hours due to coronavirus.,
13-Mar-20,"The Governor issued an executive order ensuring California public school districts retain state funding even in the event of physical closure. The order directs school districts to use those state dollars to fund distance learning and high-quality educational opportunities, provide school meals and, as practicable, arrange for the supervision for students during school hours.",
13-Mar-20,Trump Declares COVID-19 a National Emergency,
13-Mar-20,Travel Ban on Non-US Citizens Traveling From Europe Goes Into Effect,
13-Mar-20,POTUS declares the COVID-19 outbreak a national emergency.,
15-Mar-20,"The Governor called for all bars, wineries, nightclubs and brewpubs to close and urged seniors and people with chronic health conditions to isolate themselves at home in a bid to contain the spread of the coronavirus.",
15-Mar-20,The Governor announced pilot programs in two counties that will begin mobile testing in the next 24-48 hours.,
15-Mar-20,U.S. State Department issues Global Level 3 Health Advisory: Do Not Travel.,
16-Mar-20,"The Governor issued an executive order that authorizes local governments to halt evictions for renters and homeowners, slows foreclosures, and protects against utility shutoffs for Californians affected by COVID-19.",
16-Mar-20,"The Governor issued an executive order directing state health and social services agencies to redirect resources and staff to health care, residential and non-residential facilities licensed by the state, focusing on providing technical assistance and supporting compliance with core health and safety requirements for caregivers and the cared for.",
16-Mar-20,The Governor asked the California Legislature for emergency legislative action to combat COVID-19.,
16-Mar-20,"White House announces ""15 Days to Slow the Spread,"" a nationwide effort to slow the spread of COVID-19 through the implementation of social distancing at all levels of society.",
17-Mar-20,The Governor signed an executive order to ease restrictions on commercial drivers engaged in support of emergency relief efforts.,
17-Mar-20,"The Governor directed the National Guard to be prepared to perform humanitarian missions across the state including food distribution, ensuring resiliency of supply lines, as well as supporting public safety as required.",
17-Mar-20,The Governor signed emergency legislation providing up to $1 billion in funding to help California fight COVID-19. The package also provides $100 million in funding for personal protective equipment and cleaning for schools that remain open. It also allows schools to maintain funding despite service disruptions.,
17-Mar-20,CMS Temporarily Expands Use of Telehealth,
17-Mar-20,Administration Asks Congress to Send Americans Direct Financial Relief,
17-Mar-20,Centers for Disease Control and Prevention recommends that travelers defer all cruise travel worldwide and avoid all nonessential travel to China.,
18-Mar-20,The Governor authorized $150 million in funding to protect homeless Californians from COVID-19.,
